number,value,datetime_start,datetime_complete,duration,params_Na,params_Nd,params_lambda_sparse,state
0,0.016764881748847896,2020-11-27 04:50:55.432004,2020-11-27 05:09:53.540283,0 days 00:18:58.108279,2560,32,0.1,COMPLETE
1,0.01650082923762978,2020-11-27 05:09:53.566198,2020-11-27 05:29:07.176784,0 days 00:19:13.610586,2560,64,0.0,COMPLETE
2,0.016829526771169202,2020-11-27 05:29:07.202714,2020-11-27 05:40:00.519529,0 days 00:10:53.316815,1536,32,0.001,COMPLETE
3,0.016829526771169202,2020-11-27 05:40:00.541471,2020-11-27 05:50:59.833663,0 days 00:10:59.292192,1536,32,0.0,COMPLETE
4,0.016491160897634218,2020-11-27 05:50:59.857751,2020-11-27 05:58:14.432808,0 days 00:07:14.575057,1024,128,0.1,COMPLETE
5,0.016777214079176105,2020-11-27 05:58:14.456744,2020-11-27 06:09:03.100019,0 days 00:10:48.643275,2048,32,1e-06,COMPLETE
6,0.016777214079176105,2020-11-27 06:09:03.122982,2020-11-27 06:19:46.113529,0 days 00:10:42.990547,2048,32,0.1,COMPLETE
7,0.016491160897634218,2020-11-27 06:19:46.134473,2020-11-27 06:24:54.693878,0 days 00:05:08.559405,1024,128,0.001,COMPLETE
8,0.01639300386945779,2020-11-27 06:24:54.714822,2020-11-27 06:32:23.081452,0 days 00:07:28.366630,1536,128,0.01,COMPLETE
9,0.016636219582556868,2020-11-27 06:32:23.167222,2020-11-27 06:37:33.978382,0 days 00:05:10.811160,1024,64,0.0001,COMPLETE
10,0.01639300386945779,2020-11-27 06:37:33.999326,2020-11-27 06:45:09.895432,0 days 00:07:35.896106,1536,128,0.01,COMPLETE
11,0.01639300386945779,2020-11-27 06:45:09.922206,2020-11-27 06:52:48.076600,0 days 00:07:38.154394,1536,128,0.01,COMPLETE
12,0.01639300386945779,2020-11-27 06:52:48.098542,2020-11-27 07:00:21.560067,0 days 00:07:33.461525,1536,128,0.01,COMPLETE
13,0.01639300386945779,2020-11-27 07:00:21.581749,2020-11-27 07:07:56.426279,0 days 00:07:34.844530,1536,128,0.01,COMPLETE
14,0.01639300386945779,2020-11-27 07:07:56.447939,2020-11-27 07:15:32.542362,0 days 00:07:36.094423,1536,128,0.01,COMPLETE
15,0.01639300386945779,2020-11-27 07:15:32.563973,2020-11-27 07:23:05.953430,0 days 00:07:33.389457,1536,128,0.01,COMPLETE
16,0.01639300386945779,2020-11-27 07:23:05.974108,2020-11-27 07:30:40.171280,0 days 00:07:34.197172,1536,128,0.01,COMPLETE
17,0.016536943817722985,2020-11-27 07:30:40.196213,2020-11-27 07:41:19.272337,0 days 00:10:39.076124,2048,64,1e-06,COMPLETE
18,0.01639300386945779,2020-11-27 07:41:19.294058,2020-11-27 07:48:52.600231,0 days 00:07:33.306173,1536,128,0.0001,COMPLETE
19,0.016353624680360727,2020-11-27 07:48:52.622950,2020-11-27 08:03:31.437343,0 days 00:14:38.814393,2560,128,0.0001,COMPLETE
20,0.016353624680360727,2020-11-27 08:03:31.459942,2020-11-27 08:18:06.251228,0 days 00:14:34.791286,2560,128,0.0001,COMPLETE
21,0.016353624680360727,2020-11-27 08:18:06.293116,2020-11-27 08:32:40.347010,0 days 00:14:34.053894,2560,128,0.0001,COMPLETE
22,0.016353624680360727,2020-11-27 08:32:40.369433,2020-11-27 08:47:07.710511,0 days 00:14:27.341078,2560,128,0.0001,COMPLETE
23,0.016353624680360727,2020-11-27 08:47:07.732234,2020-11-27 09:01:38.674154,0 days 00:14:30.941920,2560,128,0.0001,COMPLETE
24,0.016353624680360727,2020-11-27 09:01:38.698686,2020-11-27 09:16:09.152687,0 days 00:14:30.454001,2560,128,0.0001,COMPLETE
25,0.016353624680360727,2020-11-27 09:16:09.175652,2020-11-27 09:30:39.768516,0 days 00:14:30.592864,2560,128,0.0001,COMPLETE
26,0.01650082923762978,2020-11-27 09:30:39.791121,2020-11-27 09:45:25.481625,0 days 00:14:45.690504,2560,64,0.0001,COMPLETE
27,0.016353624680360727,2020-11-27 09:45:25.503291,2020-11-27 10:00:00.482412,0 days 00:14:34.979121,2560,128,0.0001,COMPLETE
28,0.016353624680360727,2020-11-27 10:00:00.504141,2020-11-27 10:14:29.703610,0 days 00:14:29.199469,2560,128,0.0001,COMPLETE
29,0.016353624680360727,2020-11-27 10:14:29.725279,2020-11-27 10:29:04.245580,0 days 00:14:34.520301,2560,128,0.0001,COMPLETE
